"gpu_id","gpu_name","gpu_generation","phone_name","release_date","driver_version","vulkan_version"
"0x8300010","Mali-T830","Midgard","Samsung Galaxy A5(2017)","2017-01","28.0.0","1.0"
"0x8300010","Mali-T830","Midgard","Samsung Galaxy A7(2017)","2017-01","28.0.0","1.0"
"0x8300010","Mali-T830","Midgard","Samsung Galaxy J6","2018-05","28.0.0","1.0"
"0x8300010","Mali-T830","Midgard","Samsung Galaxy J7 Neo","2017-07","28.0.0","1.0"
"0x8300010","Mali-T830","Midgard","Samsung Galaxy J7 Prime","2016-08","28.0.0","1.0"
"0x8300010","Mali-T830","Midgard","Samsung Galaxy J7(2016)","2016-04","28.0.0","1.0"
"0x8300010","Mali-T830","Midgard","Samsung Galaxy Tab A (2016)","2016-03","28.0.0","1.0"
"0x8310000","Mali-T830","Midgard","Huawei FIG-LX1","2018-01","28.0.0","1.0"
"0x8310000","Mali-T830","Midgard","Huawei HUAWEI P smart","2017-12","28.0.0","1.0"
"0x8310000","Mali-T830","Midgard","Huawei HUAWEI Y9 2018","2018-04","28.0.0","1.0"
"0x8310000","Mali-T830","Midgard","Huawei Honor 9 Lite","2018-01","28.0.0","1.0"
"0x8310000","Mali-T830","Midgard","Huawei P20 lite","2018-03","28.0.0","1.0"
"0x8802000","Mali-T880","Midgard","Samsung Galaxy Note8","2017-09","16.0.0","1.0"
"0x8802000","Mali-T880","Midgard","Samsung Galaxy Note Fan Edition","2017-07","28.0.0","1.0"
"0x8802000","Mali-T880","Midgard","Samsung Galaxy S7","2016-03","28.0.0","1.0"
"0x8802000","Mali-T880","Midgard","Samsung Galaxy S7 edge","2016-03","28.0.0","1.0"
"0x60A00001","Mali-G71","Bifrost","Samsung Galaxy Note8","2017-09","16.0.0","1.0"
"0x60A00001","Mali-G71","Bifrost","Samsung Galaxy S8","2017-04","16.0.0","1.0"
"0x60A00001","Mali-G71","Bifrost","Samsung Galaxy S8+","2017-04","16.0.0","1.0"
"0x60A00002","Mali-G71","Bifrost","Cherry_Mobile Flare S8","2019-07","14.0.0","1.0"
"0x60A00002","Mali-G71","Bifrost","Huawei Honor 9","2017-06","14.0.0","1.0"
"0x60A00002","Mali-G71","Bifrost","Huawei Honor V9","2017-02","14.0.0","1.0"
"0x60A00002","Mali-G71","Bifrost","Huawei Mate 9","2016-11","14.0.0","1.0"
"0x60A00002","Mali-G71","Bifrost","Huawei Mate 9 Pro","2016-11","14.0.0","1.0"
"0x60A00002","Mali-G71","Bifrost","Huawei P10","2017-03","14.0.0","1.0"
"0x60A00002","Mali-G71","Bifrost","Huawei P10 Plus","2017-04","14.0.0","1.0"
"0x60A00002","Mali-G71","Bifrost","umidigi A5_Pro","2019-05","14.0.0","1.0"
"0x60A00002","Mali-G71","Bifrost","Samsung Galaxy A8(2018)","2018-01","16.0.0","1.0"
"0x60A00002","Mali-G71","Bifrost","Samsung Galaxy A8+(2018)","2018-01","16.0.0","1.0"
"0x60A00002","Mali-G71","Bifrost","Samsung SM-P205","2019-04","16.0.0","1.0"
"0x62210001","Mali-G72","Bifrost","Huawei Honor Play","2018-08","14.0.0","1.0"
"0x62210001","Mali-G72","Bifrost","Huawei Honor View 10","2018-01","14.0.0","1.0"
"0x62210010","Mali-G72","Bifrost","Samsung SM-A505GN","2019-03","16.0.0","1.0"
"0x62210030","Mali-G72 MP3","Bifrost","General luxe Shahin II","2019-11","14.0.0","1.0"
"0x62210030","Mali-G72 MP3","Bifrost","Oppo CPH1859","2018-05","14.0.0","1.0"
"0x62210030","Mali-G72 MP3","Bifrost","Teclast T30_EEA","2019-10","14.0.0","1.0"
"0x62210030","Mali-G72 MP3","Bifrost","Vivo Y97","2018-09","14.0.0","1.0"
"0x70901010","Mali-G51","Bifrost","HUAWEI INE-LX2r","2018-07","14.0.0","1.0"
"0x70901010","Mali-G51","Bifrost","HUAWEI JDN2-L09","2019-03","14.0.0","1.0"
"0x70901010","Mali-G51","Bifrost","HUAWEI JDN2-W09","2019-04","14.0.0","1.0"
"0x70901010","Mali-G51","Bifrost","HUAWEI POT-LX3","2019-01","14.0.0","1.0"
"0x70901010","Mali-G51","Bifrost","Huawei HUAWEI Y9 2019","2019-01","14.0.0","1.0"
"0x70901010","Mali-G51","Bifrost","Huawei nova 3i","2018-07","14.0.0","1.0"
"0x72120000","Mali-G52","Bifrost","HardKernel Co. Ltd. ODROID-N2","2019-02","16.0.0","1.1"
